,Oxidative_Stress,synapses,Abeta,NMDAR,Atrophy
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05086725544841739,0.3777229176656066,0.5171374001965872,0.06447846742647816
2,1.0,0.13455802634192415,0.5078533776302263,0.33089396321243786,0.42373592442129104
3,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
4,1.0,0.037992160304497084,0.1299926000955383,0.39189464281205155,0.06447846742647816
5,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
6,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
7,1.0,0.0454804182119251,0.184352692401344,0.39189464281205155,0.06447846742647816
8,0.5044240665266523,0.1130852743780161,0.4599249219968943,0.12679978501981104,0.9133039620469522
9,0.6948176916280865,0.11126237773572097,0.23322714344137638,0.029336646994081072,0.10080632910028373
10,0.5044240665266523,0.04658748299557069,0.13173299741830027,0.01797164383347251,0.4499120665181503
11,0.5044240665266523,0.04658748299557069,0.13173299741830027,0.01797164383347251,0.4499120665181503
12,0.5044240665266523,0.05479982931781922,0.16615493043445093,0.01797164383347251,0.4499120665181503
13,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
14,1.0,0.058187186644201666,0.26308797178477056,0.026323526487012465,0.10789348372883813
15,1.0,0.038321075084014014,0.0681798768961599,0.05449596484353773,0.1332356522777384
16,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
17,1.0,0.03649248471816383,0.18680702468116744,0.6859539773381661,0.00493116446795696
18,1.0,0.13455802634192415,0.4478387118831861,0.33089396321243786,0.42373592442129104
19,1.0,0.0454804182119251,0.15653868498777024,0.39189464281205155,0.06447846742647816
20,1.0,0.0454804182119251,0.14308384081750622,0.39189464281205155,0.06447846742647816
21,1.0,0.0454804182119251,0.14308384081750622,0.39189464281205155,0.06447846742647816
22,1.0,0.13455802634192415,0.5078533776302263,0.33089396321243786,0.42373592442129104
23,1.0,0.18700253087827126,0.5078533776302263,0.33089396321243786,0.42373592442129104
24,1.0,0.14090301576223643,0.5705498386798604,0.10860413430116075,0.633138304397958
25,1.0,0.008004530968059956,0.0,0.0,0.019588446824693486
26,0.5044240665266523,0.11364577277831618,0.12209421189518907,0.1597797881606723,0.176888972600094
27,1.0,0.025539235426097078,0.10730458296719451,0.026323526487012465,0.22495441432946672
