,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
694,UBERON:UBERON_0007220,1,0.017583140677386613,126,late embryonic stage
695,UBERON:UBERON_6000016,1,0.016069198338345008,162,thoracic segment
696,UBERON:UBERON_0001933,1,0.0178770573290097,120,retrochiasmatic area
697,UBERON:UBERON_0001907,1,0.013265805267927942,258,zona incerta
698,UBERON:UBERON_0001900,1,0.002903558213241769,1441,ventral thalamus
699,UBERON:UBERON_0001904,1,0.01350394285079924,248,habenula
700,UBERON:UBERON_0006115,1,0.02246826246182233,56,posterior column of fornix
701,UBERON:UBERON_0009624,1,0.016296549711735657,156,lumbar nerve
702,UBERON:UBERON_0006118,1,0.01669564239571879,146,lamina I of gray matter of spinal cord
703,UBERON:UBERON_0011956,1,0.028979784820669967,19,right hepatic vein
704,UBERON:UBERON_0006598,1,0.025839441907216442,32,presumptive structure
705,UBERON:UBERON_0004177,1,0.0009559696104425269,1991,hemopoietic organ
706,UBERON:UBERON_0001917,1,0.008091957781251559,609,endothelium of artery
707,UBERON:UBERON_0007699,1,0.015401121856215843,181,tract of spinal cord
708,UBERON:UBERON_0006123,1,0.02268734465562278,54,horizontal limb of the diagonal band
709,UBERON:UBERON_0006124,1,0.021387895421727046,67,vertical limb of the diagonal band
710,UBERON:UBERON_0003099,1,0.014592557024893291,207,cranial neural crest
711,UBERON:UBERON_0006331,1,0.004299226479535213,1143,brainstem nucleus
712,UBERON:UBERON_0005486,1,0.008490643967283494,570,venous dural sinus
713,UBERON:UBERON_0006334,1,0.009954967860145105,447,posterior lateral line
714,UBERON:UBERON_0005482,1,0.01059416367938937,402,obsolete region of thorax
715,UBERON:UBERON_0003081,1,0.013879787986939491,233,lateral plate mesoderm
716,UBERON:UBERON_0003079,1,0.013853988819517798,234,floor plate
717,UBERON:UBERON_0006100,1,0.01941255280870121,93,Brodmann (1909) area 3
718,UBERON:UBERON_0005462,1,0.004304499211937954,1142,lower back
719,UBERON:UBERON_0004130,1,0.012237940707501655,306,cerebellar layer
720,UBERON:UBERON_0005465,1,0.0254742333420572,34,obturator nerve
721,UBERON:UBERON_0002198,1,0.008052520020852076,613,neurohypophysis
722,UBERON:UBERON_0003044,1,0.007116886099018134,716,uncinate fasciculus
723,UBERON:UBERON_2002291,1,0.015045710164878762,192,fulcrum
724,UBERON:UBERON_0006569,1,0.020170867542972308,82,diencephalic nucleus
725,UBERON:UBERON_0004140,1,0.01411709161170251,224,primary heart field
726,UBERON:UBERON_0003050,1,0.02512990554784064,36,olfactory placode
727,UBERON:UBERON_0003054,1,0.02112402420089336,70,roof plate
728,UBERON:UBERON_0005569,1,0.03836619818239618,4,rhombomere 2
729,UBERON:UBERON_0003148,1,-0.003260324417137657,4009,obsolete sclerite
730,UBERON:UBERON_0002299,1,0.0034000435244906525,1327,alveolus of lung
731,UBERON:UBERON_0008838,1,0.009576297621483348,476,metapodial pad
732,UBERON:UBERON_0002291,1,0.007552973426851004,666,central canal of spinal cord
733,UBERON:UBERON_0003143,1,0.012297291890893292,303,pupa
734,UBERON:UBERON_0004480,1,0.02185511370091906,62,musculature of limb
735,UBERON:UBERON_0004243,1,0.03836619818239618,4,prostate gland smooth muscle
736,UBERON:UBERON_0003123,1,0.025654070469464912,33,pharyngeal arch artery 6
737,UBERON:UBERON_0008810,1,0.030819433311942156,14,nasopalatine nerve
738,UBERON:UBERON_0026000,1,0.016258056952104503,157,obsolete regional part of cerebral ventricular cavity
739,UBERON:UBERON_0002033,1,0.027090281454073332,26,arrector muscle of hair
740,UBERON:UBERON_0003120,1,0.013383697413675516,253,pharyngeal arch artery 3
741,UBERON:UBERON_0002030,1,0.012708652781653122,283,nipple
742,UBERON:UBERON_0009918,1,0.021478485044405003,66,retrotrapezoid nucleus
743,UBERON:UBERON_0002289,1,0.006212354328773779,832,midbrain cerebral aqueduct
744,UBERON:UBERON_0004465,1,0.014253081503500931,219,musculature of neck
745,UBERON:UBERON_0001193,1,0.013036724571607223,268,hepatic artery
746,UBERON:UBERON_0002280,1,0.01357725933043933,245,otolith
747,UBERON:UBERON_0002042,1,0.011746676448681732,332,lymphatic vessel endothelium
748,UBERON:UBERON_2002202,1,0.020244783763404918,81,intermediate nucleus
749,UBERON:UBERON_0001167,1,0.01661368063634663,148,wall of stomach
750,UBERON:UBERON_0004679,1,0.010534518673469415,406,dentate gyrus molecular layer
751,UBERON:UBERON_0003102,1,0.006805366815600601,754,surface structure
752,UBERON:UBERON_0002012,1,0.0038818502193905344,1225,pulmonary artery
753,UBERON:UBERON_0001166,1,0.015236967383641291,186,pylorus
754,UBERON:UBERON_0002019,1,0.01669564239571879,146,accessory XI nerve
755,UBERON:UBERON_0007702,1,0.016778734697720815,144,tract of brain
756,UBERON:UBERON_0004670,1,0.006678871955120039,770,ependyma
757,UBERON:UBERON_0004671,1,0.012179168569276571,309,gyrus rectus
758,UBERON:UBERON_0012291,1,0.01433617380550296,216,lateral malleolus of fibula
759,UBERON:UBERON_0001179,1,0.004184378875890692,1165,peritoneal cavity
760,UBERON:UBERON_0004449,1,0.003409129644441767,1325,cerebral artery
761,UBERON:UBERON_0002023,1,0.012179168569276571,309,claustrum of brain
762,UBERON:UBERON_0003119,1,0.02327266844148813,49,pharyngeal arch artery 2
763,UBERON:UBERON_0004682,1,0.006321952798419596,817,corona radiata of neuraxis
764,UBERON:UBERON_0006862,1,0.014739852783111154,202,diaphysis of femur
765,UBERON:UBERON_0000083,1,0.00931622429699414,497,mesonephric tubule
766,UBERON:UBERON_0016405,1,0.01076129939404994,391,pulmonary capillary
767,UBERON:UBERON_0001387,1,0.021387895421727046,67,fibularis longus
768,UBERON:UBERON_0001143,1,0.013726624743771959,239,hepatic vein
769,UBERON:UBERON_0002479,1,0.015014416087305847,193,dorsal lateral geniculate nucleus
770,UBERON:UBERON_0001389,1,0.0064788197202004395,796,soleus muscle
771,UBERON:UBERON_0005986,1,0.01941255280870121,93,left branch of atrioventricular bundle
772,UBERON:UBERON_0001148,1,0.00650916787700741,792,median nerve
773,UBERON:UBERON_0000059,1,0.005772647838089159,895,large intestine
774,UBERON:UBERON_0025592,1,0.006336717747932489,815,glutamatergic system
775,UBERON:UBERON_0001383,1,0.010996952506070851,376,muscle of leg
776,UBERON:UBERON_0001140,1,0.017583140677386613,126,renal vein
777,UBERON:UBERON_0006849,1,0.009769188050608479,461,scapula
778,UBERON:UBERON_0001398,1,0.011077597571025426,371,brachial artery
779,UBERON:UBERON_0025589,1,0.014739852783111154,202,catecholamine system
780,UBERON:UBERON_0006841,1,0.011394289661443126,352,central vein of liver
781,UBERON:UBERON_0004663,1,0.01411709161170251,224,aorta wall
782,UBERON:UBERON_2002218,1,0.009861361815399443,454,parallel fiber
783,UBERON:UBERON_0005995,1,0.022576807675693887,55,mitral valve anulus
784,UBERON:UBERON_0001159,1,0.014280651786798597,218,sigmoid colon
785,UBERON:UBERON_0001391,1,0.011411427927299942,351,popliteus muscle
786,UBERON:UBERON_0002483,1,0.00820176208100617,598,trabecular bone tissue
787,UBERON:UBERON_0001153,1,0.0016613471181615798,1771,caecum
788,UBERON:UBERON_0017716,1,0.021387895421727046,67,thenar eminence
789,UBERON:UBERON_0004638,1,0.016069198338345008,162,blood vessel endothelium
790,UBERON:UBERON_0001365,1,0.016991622447391348,139,sacro-iliac joint
791,UBERON:UBERON_0001369,1,0.024059537010265624,43,iliacus muscle
792,UBERON:UBERON_0017717,1,0.026030699125978975,31,hypothenar eminence
793,UBERON:UBERON_0002451,1,0.024495203646287468,40,endometrial gland
794,UBERON:UBERON_0002690,1,0.02268734465562278,54,anteroventral periventricular nucleus
795,UBERON:UBERON_0010077,1,0.01802957424457771,117,cuboidal epithelium
796,UBERON:UBERON_0014430,1,0.019543516583619316,91,sciatic notch
797,UBERON:UBERON_0012252,1,0.014392212315516894,214,endocervical epithelium
798,UBERON:UBERON_0002464,1,0.016181801549261594,159,nerve trunk
799,UBERON:UBERON_0002222,1,0.020789266061406544,74,perichondrium
800,UBERON:UBERON_0001132,1,0.0042676866358367475,1149,parathyroid gland
801,UBERON:UBERON_0002221,1,0.006789408935048933,756,fontanelle
802,UBERON:UBERON_0001378,1,0.01290334429523847,274,rectus femoris
803,UBERON:UBERON_0001379,1,0.010639288207878269,399,vastus lateralis
804,UBERON:UBERON_0001371,1,0.01879731488655434,103,gluteus medius
805,UBERON:UBERON_0015510,1,0.010792192263730179,389,body of corpus callosum
806,UBERON:UBERON_0030276,1,0.02930549097290055,18,lumbar spinal cord ventral horn
807,UBERON:UBERON_0002439,1,0.011463137226645673,348,myenteric nerve plexus
808,UBERON:UBERON_0004619,1,0.02315096538535849,50,lumbar vertebra 3
809,UBERON:UBERON_0001585,1,0.010964994360108844,378,anterior vena cava
810,UBERON:UBERON_0001586,1,0.0047306782499763,1064,internal jugular vein
811,UBERON:UBERON_0000016,1,0.014829990570320263,199,endocrine pancreas
812,UBERON:UBERON_0001587,1,0.015401121856215843,181,subclavian vein
813,UBERON:UBERON_0010290,1,0.024964851486466457,37,scleral ossicle
814,UBERON:UBERON_0002685,1,0.022914696029013425,52,anteroventral nucleus of thalamus
815,UBERON:UBERON_0001597,1,0.010230718350415852,427,masseter muscle
816,UBERON:UBERON_0005956,1,0.017927468471603168,119,outflow part of left ventricle
817,UBERON:UBERON_0002683,1,0.013219286917964628,260,rhinal sulcus
818,UBERON:UBERON_0001598,1,0.005541558272592496,930,temporalis muscle
819,UBERON:UBERON_0004864,1,0.010105066361738685,436,vasculature of retina
820,UBERON:UBERON_0004622,1,0.02732655081041841,25,sacral vertebra 1
821,UBERON:UBERON_0034893,1,0.017257434525156042,133,agranular insular cortex
822,UBERON:UBERON_0022262,1,0.0186814633086755,105,auditory radiation
823,UBERON:UBERON_0005921,1,0.014952311450806681,195,middle nasal concha
824,UBERON:UBERON_0000474,1,0.01686298916744816,142,female reproductive system
825,UBERON:UBERON_0002894,1,0.009032127817134273,521,olfactory cortex
826,UBERON:UBERON_0002652,1,0.013173125033955176,262,posterior median eminence
827,UBERON:UBERON_0000475,1,0.0027061640163472704,1489,organism subdivision
828,UBERON:UBERON_0002413,1,0.00973011269380362,464,cervical vertebra
829,UBERON:UBERON_0002412,1,0.0010290267530638356,1967,vertebra
830,UBERON:UBERON_0001324,1,0.0157788242310084,170,common fibular nerve
831,UBERON:UBERON_0000470,1,0.014534632574896657,209,cell component
832,UBERON:UBERON_0012451,1,0.012297291890893292,303,sensory receptor
833,UBERON:UBERON_6005096,1,0.02964981876711711,17,stomatogastric nervous system
834,UBERON:UBERON_0000009,1,0.008794079867216927,542,submucosa
835,UBERON:UBERON_0012450,1,0.025839441907216442,32,Meissner's corpuscle
836,UBERON:UBERON_0002661,1,0.0020949731863146915,1648,superior frontal gyrus
837,UBERON:UBERON_0002424,1,0.012816037022331441,278,oral epithelium
838,UBERON:UBERON_0034678,1,0.013601897795809965,244,forceps minor of corpus callosum
839,UBERON:UBERON_0001308,1,0.02480419939561006,38,external iliac artery
840,UBERON:UBERON_0002879,1,0.02867078907134738,20,peritrigeminal nucleus
841,UBERON:UBERON_0003961,1,0.009009046959835742,523,cingulum of brain
842,UBERON:UBERON_0005902,1,0.0015936979357647233,1791,occipital region
843,UBERON:UBERON_0001788,1,0.01393172017395098,231,outer limiting layer of retina
844,UBERON:UBERON_0035526,1,0.02268734465562278,54,superficial fibular nerve
845,UBERON:UBERON_0013538,1,0.013528282667287221,247,Brodmann (1909) area 7
846,UBERON:UBERON_0014613,1,0.04009922271523824,3,cervical spinal cord gray matter
847,UBERON:UBERON_0001558,1,-0.0022677557301602233,3400,lower respiratory tract
848,UBERON:UBERON_0001794,1,0.016778734697720815,144,inner limiting layer of retina
849,UBERON:UBERON_0002882,1,0.0063072239490637744,819,supraspinal nucleus
850,UBERON:UBERON_0001793,1,0.004629619277055597,1082,nerve fiber layer of retina
851,UBERON:UBERON_0001799,1,0.02185511370091906,62,vitreous chamber of eyeball
852,UBERON:UBERON_0001557,1,-0.003792122936167124,4379,upper respiratory tract
853,UBERON:UBERON_0002886,1,0.018239129160754916,113,lateral amygdaloid nucleus
854,UBERON:UBERON_0001797,1,0.0024062780507433865,1565,vitreous humor
855,UBERON:UBERON_0001790,1,0.010244842850170395,426,outer plexiform layer of retina
856,UBERON:UBERON_0001648,1,0.009704202561879578,466,vestibulocochlear nerve
857,UBERON:UBERON_0002979,1,0.01062420911017876,400,Purkinje cell layer of cerebellar cortex
858,UBERON:UBERON_0001649,1,0.013651479115909457,242,glossopharyngeal nerve
859,UBERON:UBERON_0001404,1,0.011045209878035185,373,radial artery
860,UBERON:UBERON_0001409,1,0.02112402420089336,70,semispinalis capitis
861,UBERON:UBERON_4200133,1,0.008838703007445008,538,crest
862,UBERON:UBERON_0001643,1,0.008293114914132947,589,oculomotor nerve
863,UBERON:UBERON_0008274,1,0.02782884965944884,23,mollusc venom
864,UBERON:UBERON_0002981,1,0.007671723675429065,653,pulvinar nucleus
865,UBERON:UBERON_0001892,1,0.022576807675693887,55,rhombomere
866,UBERON:UBERON_0002716,1,0.01621980859259451,158,collateral sulcus
867,UBERON:UBERON_0002956,1,0.011258911011731928,360,granular layer of cerebellar cortex
868,UBERON:UBERON_0002718,1,0.006959113013161561,735,solitary tract
869,UBERON:UBERON_0001629,1,0.012708652781653122,283,carotid body
870,UBERON:UBERON_0006094,1,0.004546679512785697,1097,superior parietal cortex
871,UBERON:UBERON_0006091,1,0.013879787986939491,233,inferior horn of the lateral ventricle
872,UBERON:UBERON_0001870,1,0.01390569811886353,232,frontal cortex
873,UBERON:UBERON_0002935,1,0.021387895421727046,67,magnocellular part of ventral anterior nucleus
874,UBERON:UBERON_0001844,1,-0.0019419511441779703,3221,cochlea
875,UBERON:UBERON_0000997,1,0.011142900068331841,367,mammalian vulva
876,UBERON:UBERON_0001607,1,0.022576807675693887,55,sphincter pupillae
877,UBERON:UBERON_0000996,1,0.0036125720331380813,1281,vagina
878,UBERON:UBERON_0002945,1,0.015995282117912398,164,ventral posteromedial nucleus of thalamus
879,UBERON:UBERON_0002943,1,0.006749698202023915,761,lingual gyrus
880,UBERON:UBERON_0002701,1,0.02268734465562278,54,anterior median oculomotor nucleus
881,UBERON:UBERON_0002942,1,0.014534632574896657,209,ventral posterolateral nucleus
882,UBERON:UBERON_0023861,1,0.024201286994664385,42,planum polare
883,UBERON:UBERON_0001828,1,0.0023602630869555274,1577,gingiva
884,UBERON:UBERON_0018268,1,0.034190612757336265,8,type 1 adrenal tissue
885,UBERON:UBERON_0000979,1,0.0032079351841896703,1370,tibia
886,UBERON:UBERON_0001827,1,-0.0011623417544555875,2830,secretion of lacrimal gland
887,UBERON:UBERON_0001820,1,0.01076129939404994,391,sweat gland
888,UBERON:UBERON_0000972,1,0.011497858339397178,346,antenna
889,UBERON:UBERON_0004096,1,0.012140303296496518,311,odontoid process of cervical vertebra 2
890,UBERON:UBERON_0002924,1,0.016492791702305613,151,terminal nerve
891,UBERON:UBERON_0035014,1,0.03592363729017832,6,functional part of brain
892,UBERON:UBERON_0001831,1,0.005806396365490786,890,parotid gland
893,UBERON:UBERON_0001830,1,0.016181801549261594,159,minor salivary gland
894,UBERON:UBERON_0008465,1,0.01335993368903084,254,abductor pollicis brevis muscle
895,UBERON:UBERON_0007376,1,0.0012983399403411167,1881,outer epithelium
896,UBERON:UBERON_0001805,1,0.012540722844735924,291,autonomic ganglion
897,UBERON:UBERON_0005169,1,0.0038867698573818344,1224,interstitial tissue
898,UBERON:UBERON_0008431,1,0.027572466440058497,24,sacral foramen
899,UBERON:UBERON_0002902,1,0.012397528752362963,298,occipital pole
900,UBERON:UBERON_0035038,1,0.009576297621483348,476,carpal tunnel
901,UBERON:UBERON_0002905,1,0.010301674369648458,422,intralingual sulcus
902,UBERON:UBERON_0001815,1,0.021663856482156532,64,lumbosacral nerve plexus
903,UBERON:UBERON_0000962,1,0.014592557024893291,207,nerve of cervical vertebra
904,UBERON:UBERON_0000961,1,0.020789266061406544,74,thoracic ganglion
905,UBERON:UBERON_0010996,1,0.007339708806062354,690,articular cartilage of joint
906,UBERON:UBERON_0005390,1,0.01333626333879054,255,cortical layer I
907,UBERON:UBERON_0005391,1,0.009101905775505542,515,cortical layer II
908,UBERON:UBERON_0006238,1,0.016258056952104503,157,future brain
909,UBERON:UBERON_0005387,1,0.01637428106616884,154,olfactory glomerulus
910,UBERON:UBERON_0005388,1,0.034190612757336265,8,photoreceptor array
911,UBERON:UBERON_0005381,1,0.012082471527044593,314,dentate gyrus granule cell layer
912,UBERON:UBERON_0006472,1,0.010964994360108844,378,Brodmann (1909) area 6
913,UBERON:UBERON_0019303,1,0.026643847886882243,28,occipital sulcus
914,UBERON:UBERON_2005000,1,-0.002142435684197793,3330,basal communicating artery
915,UBERON:UBERON_0000946,1,0.00653966969602275,788,cardial valve
916,UBERON:UBERON_0005394,1,0.010287416146695049,423,cortical layer V
917,UBERON:UBERON_0000912,1,-0.0006679045453966617,2607,mucus
918,UBERON:UBERON_0005368,1,0.01988395158520571,86,hippocampus molecular layer
919,UBERON:UBERON_0006691,1,0.013777247700376655,237,tentorium cerebelli
920,UBERON:UBERON_0002098,1,0.019348123356190683,94,apex of heart
921,UBERON:UBERON_0006692,1,0.002593935421982672,1517,vertebral canal
922,UBERON:UBERON_0000923,1,0.005659296803152557,912,germ layer
923,UBERON:UBERON_0000925,1,0.00856508211601184,563,endoderm
924,UBERON:UBERON_0007318,1,0.012082471527044593,314,saphenous vein
925,UBERON:UBERON_0004048,1,0.02205264275406961,60,pontine cistern
926,UBERON:UBERON_0008404,1,0.011710495580849129,334,proximal tubular epithelium
927,UBERON:UBERON_0009976,1,0.018292677036762416,112,hypothalamo-hypophyseal system
928,UBERON:UBERON_0007311,1,-0.00441250076439091,4854,sputum
929,UBERON:UBERON_0008883,1,0.015334922328652018,183,osteoid
930,UBERON:UBERON_0005371,1,0.009887958310635088,452,hippocampus stratum oriens
931,UBERON:UBERON_0035085,1,0.020871227820778705,73,anatomical plane
932,UBERON:UBERON_0007769,1,0.014392212315516894,214,medial preoptic region
933,UBERON:UBERON_6004535,1,0.018915438208171063,101,proboscis
934,UBERON:UBERON_0004256,1,0.02686293008068269,27,hindlimb zeugopod muscle
935,UBERON:UBERON_0004019,1,0.01093320485950135,380,baroreceptor
936,UBERON:UBERON_0002075,1,0.006718117021512772,765,viscus
937,UBERON:UBERON_0000908,1,0.01734871045901509,131,hippocampal commissure
938,UBERON:UBERON_0010938,1,0.006069257425110482,852,muscle belly
939,UBERON:UBERON_0006447,1,0.02112402420089336,70,fifth lumbar spinal cord segment
940,UBERON:UBERON_0004262,1,0.028376872419724294,21,upper leg skin
941,UBERON:UBERON_0009953,1,0.008375497003287621,581,post-embryonic organism
942,UBERON:UBERON_6110636,1,0.02205264275406961,60,adult cerebral ganglion
943,UBERON:UBERON_0004023,1,0.010549374652356126,405,ganglionic eminence
944,UBERON:UBERON_0002085,1,0.017441390692987856,129,interatrial septum
945,UBERON:UBERON_0014169,1,0.01716752096963389,135,nigrostriatal tract
946,UBERON:UBERON_0001090,1,0.003120627911282641,1390,synovial fluid
947,UBERON:UBERON_2001275,1,0.00734844571315661,689,sublingual
948,UBERON:UBERON_0005206,1,0.02732655081041841,25,choroid plexus stroma
949,UBERON:UBERON_0007622,1,0.03836619818239618,4,pecten oculi
950,UBERON:UBERON_0001083,1,0.018567797740576802,107,myocardium of ventricle
951,UBERON:UBERON_0016578,1,0.02303167244983934,51,lamina VII of gray matter of spinal cord
952,UBERON:UBERON_0014398,1,0.007409961455145745,682,respiratory muscle
953,UBERON:UBERON_0003038,1,0.003956070004860657,1210,thoracic spinal cord
954,UBERON:UBERON_0001094,1,0.020097847298801555,83,sacral vertebra
955,UBERON:UBERON_0002181,1,0.015140579785168752,189,substantia gelatinosa
956,UBERON:UBERON_0002180,1,0.01818605307833229,114,ventral funiculus of spinal cord
957,UBERON:UBERON_0004122,1,0.006048083075065637,855,genitourinary system
958,UBERON:UBERON_0002185,1,0.005496385404573697,937,bronchus
959,UBERON:UBERON_2001053,1,0.012837745501266972,277,future internal carotid artery
960,UBERON:UBERON_0003004,1,0.012198695641108924,308,median raphe nucleus
961,UBERON:UBERON_0001069,1,0.019543516583619316,91,head of pancreas
962,UBERON:UBERON_0006517,1,0.013726624743771959,239,kidney calyx
963,UBERON:UBERON_0003002,1,0.013957855123340123,230,medial lemniscus
964,UBERON:UBERON_0001067,1,0.013828299670201787,235,vertebral arch joint
965,UBERON:UBERON_0005423,1,0.030015027332276355,16,developing anatomical structure
966,UBERON:UBERON_0004339,1,0.0097953798152838,459,vault of skull
967,UBERON:UBERON_0002395,1,0.01782706454096937,121,talus
968,UBERON:UBERON_0012198,1,0.01433617380550296,216,intercostal space
969,UBERON:UBERON_0014377,1,0.02070840449314064,75,hypothenar muscle
970,UBERON:UBERON_0015228,1,0.026643847886882243,28,circulatory organ
971,UBERON:UBERON_0005437,1,0.010259000545019513,425,conus medullaris
972,UBERON:UBERON_0002167,1,0.008849910631860188,537,right lung
973,UBERON:UBERON_0008942,1,0.027090281454073332,26,gastropod cerebral ganglion
974,UBERON:UBERON_0001072,1,0.0066166068386702675,778,posterior vena cava
975,UBERON:UBERON_0006762,1,0.004885518380530893,1037,suspensory ligament of lens
976,UBERON:UBERON_0003252,1,0.0123172062772457,302,thoracic rib cage
977,UBERON:UBERON_0002162,1,0.007764689970843594,643,area postrema
978,UBERON:UBERON_0016542,1,0.00834447154559897,584,limbic cortex
979,UBERON:UBERON_0005408,1,0.008062355282441746,612,circumventricular organ
980,UBERON:UBERON_0002135,1,0.006126088944588547,844,mitral valve
981,UBERON:UBERON_0002134,1,0.01375188304654326,238,tricuspid valve
982,UBERON:UBERON_0001045,1,0.009267934688631272,501,midgut
983,UBERON:UBERON_0005401,1,0.008480084636997865,571,cerebral hemisphere gray matter
984,UBERON:UBERON_0002139,1,0.02303167244983934,51,subcommissural organ
985,UBERON:UBERON_0001048,1,0.014983283736953784,194,primordium
986,UBERON:UBERON_0004550,1,0.0032387941427778504,1363,gastroesophageal sphincter
987,UBERON:UBERON_0001285,1,0.004132890559152991,1175,nephron
988,UBERON:UBERON_0002130,1,0.012198695641108924,308,cerebellar nuclear complex
989,UBERON:UBERON_0001041,1,0.015995282117912398,164,foregut
990,UBERON:UBERON_0006508,1,0.019814308076765496,87,interosseous muscle of autopod
991,UBERON:UBERON_0002145,1,0.018856087024779433,102,interpeduncular nucleus
992,UBERON:UBERON_0006743,1,0.024964851486466457,37,paleodentate of dentate nucleus
993,UBERON:UBERON_0002380,1,0.009652714245141877,470,trapezius muscle
994,UBERON:UBERON_0001296,1,0.014477259794708371,211,myometrium
995,UBERON:UBERON_0005890,1,0.013802719604650878,236,gonad germinal epithelium
996,UBERON:UBERON_0012168,1,-0.002890042295448197,3770,umbilical cord blood
997,UBERON:UBERON_0003209,1,0.014477259794708371,211,blood nerve barrier
998,UBERON:UBERON_0013493,1,0.02686293008068269,27,abdominal fascia
999,UBERON:UBERON_0004539,1,0.013676423650042171,241,right kidney
1000,UBERON:UBERON_0007806,1,0.04009922271523824,3,connecting stalk
1001,UBERON:UBERON_0001267,1,0.015302093384269097,184,femoral nerve
1002,UBERON:UBERON_0005621,1,0.012179168569276571,309,rhomboid
1003,UBERON:UBERON_0003689,1,0.0044486359970086565,1115,sella turcica
1004,UBERON:UBERON_0002116,1,0.0023793932916174932,1572,ileum
1005,UBERON:UBERON_0002115,1,0.005765920761582683,896,jejunum
1006,UBERON:UBERON_0000173,1,0.0014870149681867034,1823,amniotic fluid
1007,UBERON:UBERON_0003440,1,0.022914696029013425,52,limb nerve
1008,UBERON:UBERON_0000171,1,0.020244783763404918,81,respiration organ
1009,UBERON:UBERON_0003697,1,0.007270266003827008,698,abdominal wall
1010,UBERON:UBERON_0004548,1,-0.00013932659707733077,2388,left eye
1011,UBERON:UBERON_0002365,1,0.014680501599719516,204,exocrine gland
1012,UBERON:UBERON_0001276,1,0.010475458431923507,410,epithelium of stomach
1013,UBERON:UBERON_0003215,1,0.0157083661601458,172,alveolus
1014,UBERON:UBERON_3000701,1,0.013726624743771959,239,intervertebral space
1015,UBERON:UBERON_0001273,1,0.014144045108057456,223,ilium
1016,UBERON:UBERON_2001675,1,0.017212309996667133,134,mesethmoid cornu
1017,UBERON:UBERON_0001009,1,0.0028743655810361092,1448,circulatory system
1018,UBERON:UBERON_0005609,1,0.019745460511562948,88,iliac artery
1019,UBERON:UBERON_0000397,1,0.006975527454885568,733,colonic epithelium
1020,UBERON:UBERON_0002575,1,0.032272216786742684,11,posterior orbital gyrus
1021,UBERON:UBERON_0002333,1,0.019284375709621174,95,pulmonary trunk
1022,UBERON:UBERON_0000395,1,0.008974590642529796,526,cochlear ganglion
1023,UBERON:UBERON_0001485,1,0.004464866172211615,1112,knee joint
1024,UBERON:UBERON_0001007,1,0.0052940882379933114,969,digestive system
1025,UBERON:UBERON_0001004,1,0.000456818273762633,2163,respiratory system
1026,UBERON:UBERON_0005843,1,0.015995282117912398,164,sacral spinal cord
1027,UBERON:UBERON_0014559,1,0.03499501873700206,7,CA3 stratum lacunosum moleculare
1028,UBERON:UBERON_0014557,1,0.026643847886882243,28,CA1 stratum lacunosum moleculare
1029,UBERON:UBERON_0034986,1,0.02529960962595327,35,sacral nerve plexus
1030,UBERON:UBERON_0014792,1,0.015204666521343791,187,musculature of pelvic complex
1031,UBERON:UBERON_0014550,1,0.020789266061406544,74,pyramidal layer of CA3
1032,UBERON:UBERON_0001496,1,0.008554391613852994,564,ascending aorta
1033,UBERON:UBERON_0034987,1,0.02279994786653937,53,lumbar nerve plexus
1034,UBERON:UBERON_0001015,1,-8.611656696583176e-05,2367,musculature
1035,UBERON:UBERON_0003677,1,0.02157045776808445,65,tooth root
1036,UBERON:UBERON_0001490,1,0.012794406491423436,279,elbow joint
1037,UBERON:UBERON_0001494,1,0.010132763405405127,434,ulnar nerve
1038,UBERON:UBERON_0001492,1,0.015569875086503038,176,radial nerve
1039,UBERON:UBERON_0013212,1,0.008385874432874644,580,anal sac gland secretion
1040,UBERON:UBERON_0010188,1,0.015743492186114434,171,protuberance
1041,UBERON:UBERON_0014548,1,0.011309322154325405,357,pyramidal layer of CA1
1042,UBERON:UBERON_2000364,1,0.0064410982670439565,801,hypural
1043,UBERON:UBERON_0002318,1,0.007840110003041955,635,white matter of spinal cord
1044,UBERON:UBERON_0034753,1,0.011159336903592106,366,inferior occipitofrontal fasciculus
1045,UBERON:UBERON_0013691,1,0.005957177980345215,868,buttock
1046,UBERON:UBERON_0006915,1,0.014769749104449278,201,stratified squamous epithelium
1047,UBERON:UBERON_0003884,1,0.02480419939561006,38,CA4 field of hippocampus
1048,UBERON:UBERON_0002315,1,0.009691289167040715,467,gray matter of spinal cord
1049,UBERON:UBERON_0002314,1,0.012357233643020812,300,midbrain tectum
1050,UBERON:UBERON_0001224,1,0.01716752096963389,135,renal pelvis
1051,UBERON:UBERON_0005821,1,0.020025701569604475,84,gracile fasciculus
1052,UBERON:UBERON_0001461,1,-2.729452589908093e-05,2344,elbow
1053,UBERON:UBERON_0000372,1,0.021298647916997284,68,extensor digitorum brevis pes
1054,UBERON:UBERON_0013684,1,0.007041636171945669,725,right dorsal thalamus
1055,UBERON:UBERON_0013201,1,0.00962713417959097,472,olfactory pathway
1056,UBERON:UBERON_0002329,1,0.013242501190952518,259,somite
1057,UBERON:UBERON_0013682,1,0.011532780735085891,344,peripheral region of retina
1058,UBERON:UBERON_0001234,1,0.02327266844148813,49,left adrenal gland
1059,UBERON:UBERON_0034768,1,0.016991622447391348,139,morphological feature
1060,UBERON:UBERON_0002324,1,0.01941255280870121,93,muscle of back
