,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
417,UBERON:UBERON_0003891,3,0.023482422729036462,1909,stroma
418,UBERON:UBERON_0002535,3,0.03442406612805638,1042,gill
419,UBERON:UBERON_0000121,3,0.06751268196956042,167,perineurium
420,UBERON:UBERON_0002305,3,0.05656826107433827,306,layer of hippocampus
421,UBERON:UBERON_0000125,3,0.027767767585046867,1506,neural nucleus
422,UBERON:UBERON_0002998,3,0.0202253621152592,2286,inferior frontal gyrus
423,UBERON:UBERON_0000349,3,0.01522901510022876,3014,limbic system
424,UBERON:UBERON_0012423,2,0.02356615186671241,660,layer of microvilli
425,UBERON:UBERON_0003709,2,0.0182859719759756,1023,circle of Willis
426,UBERON:UBERON_0003708,2,0.03850550616760207,191,carotid sinus
427,UBERON:UBERON_0002612,2,0.04268621278938761,135,transverse orbital sulcus
428,UBERON:UBERON_0019286,2,0.03497654211419324,256,rhombomere 11
429,UBERON:UBERON_0035552,2,0.013342107058244896,1542,deep vein
430,UBERON:UBERON_0003951,2,0.008704325281562042,2266,ocular fundus
431,UBERON:UBERON_0000204,2,0.03497654211419324,256,ventral part of telencephalon
432,UBERON:UBERON_0001532,2,0.0020458094067292813,3938,internal carotid artery
433,UBERON:UBERON_0035563,2,0.032787743281571136,307,magnocellular superficial pretectal nucleus
434,UBERON:UBERON_0001966,2,0.01992341998892894,893,substantia nigra pars reticulata
435,UBERON:UBERON_0001727,2,0.042421406684342126,138,taste bud
436,UBERON:UBERON_0007021,2,0.022384691466998983,728,sexually immature organism
437,UBERON:UBERON_0001946,2,0.024358337138553142,618,inferior colliculus
438,UBERON:UBERON_0001702,2,0.02847868707087265,439,eyelash
439,UBERON:UBERON_0001707,2,0.011572249138809118,1786,nasal cavity
440,UBERON:UBERON_0007249,2,0.04420610779332616,119,dorsal accessory inferior olivary nucleus
441,UBERON:UBERON_0002809,2,0.016761366966984454,1161,right temporal lobe
442,UBERON:UBERON_0001711,2,0.015501306470101369,1289,eyelid
443,UBERON:UBERON_0001929,2,0.028644490505483268,433,supraoptic nucleus
444,UBERON:UBERON_0010409,2,0.027733749184201257,467,ocular surface region
445,UBERON:UBERON_0001930,2,0.023384972621356498,670,paraventricular nucleus of hypothalamus
446,UBERON:UBERON_6003559,2,0.021507201734539738,783,adult nervous system
447,UBERON:UBERON_0036012,2,0.041021750879980175,155,nucleus of the brachium of the inferior colliculus
448,UBERON:UBERON_0036016,2,0.01951226949778213,924,honey
449,UBERON:UBERON_0005281,2,0.014566451399732476,1393,ventricular system of central nervous system
450,UBERON:UBERON_0006337,2,0.03680244450126795,220,distal early tubule
451,UBERON:UBERON_0009856,2,0.0036153493980238148,3457,sac
452,UBERON:UBERON_0007640,2,0.03631937875184773,229,hippocampus stratum lacunosum moleculare
453,UBERON:UBERON_0003040,2,0.012053965782044502,1716,central gray substance of midbrain
454,UBERON:UBERON_0006568,2,0.026508283921074363,517,hypothalamic nucleus
455,UBERON:UBERON_0009834,2,0.00208257909784572,3926,dorsolateral prefrontal cortex
456,UBERON:UBERON_0003147,2,0.007376576605253438,2530,obsolete peritreme
457,UBERON:UBERON_0002031,2,0.015832972515237773,1254,epithelium of bronchus
458,UBERON:UBERON_0001184,2,0.028153772294637624,451,renal artery
459,UBERON:UBERON_0002257,2,0.009181543812827654,2178,ventral horn of spinal cord
460,UBERON:UBERON_0005769,2,0.0036223217319979618,3455,basement membrane of epithelium
461,UBERON:UBERON_0002255,2,0.04717627646752223,93,vomeronasal organ
462,UBERON:UBERON_0002258,2,0.038760503892807406,187,dorsal funiculus of spinal cord
463,UBERON:UBERON_0000073,2,0.03616256708784688,232,regional part of nervous system
464,UBERON:UBERON_0002266,2,0.03351570785355625,289,anterior olfactory nucleus
465,UBERON:UBERON_0004683,2,0.044513737937966716,116,parasubiculum
466,UBERON:UBERON_0002475,2,0.05077257753446195,69,saphenous nerve
467,UBERON:UBERON_0016636,2,0.008286306153544342,2346,supplemental motor cortex
468,UBERON:UBERON_0002005,2,0.017949181285059592,1052,enteric nervous system
469,UBERON:UBERON_0001393,2,0.011161098647662309,1848,auditory cortex
470,UBERON:UBERON_0001361,2,0.01884028660138336,977,femoral vein
471,UBERON:UBERON_0000030,2,0.01607559434206706,1229,lamina propria
472,UBERON:UBERON_0001377,2,0.01568022000608391,1270,quadriceps femoris
473,UBERON:UBERON_0000043,2,0.002881857520271448,3674,tendon
474,UBERON:UBERON_0002463,2,0.032138396676690016,324,muscle of posterior compartment of hindlimb stylopod
475,UBERON:UBERON_0002228,2,0.013071697024030878,1577,rib
476,UBERON:UBERON_0002226,2,0.0404154245680824,163,basilar membrane of cochlea
477,UBERON:UBERON_0003528,2,0.017389740364394474,1102,brain gray matter
478,UBERON:UBERON_0002430,2,0.03889005560095514,185,lateral hypothalamic area
479,UBERON:UBERON_0005942,2,0.019139946220522886,953,hair outer root sheath
480,UBERON:UBERON_0002444,2,0.04704741756250117,94,lens fiber
481,UBERON:UBERON_0002206,2,0.055398588412620985,47,mammillary body
482,UBERON:UBERON_0002445,2,0.014635843630556176,1385,ulnare
483,UBERON:UBERON_0000026,2,0.02352969739783847,662,appendage
484,UBERON:UBERON_0013554,2,0.04224804840178671,140,Brodmann (1909) area 23
485,UBERON:UBERON_0009050,2,0.03637210615666458,228,nucleus of solitary tract
486,UBERON:UBERON_0002417,2,0.015105946853702009,1332,abdominal segment of trunk
487,UBERON:UBERON_0005928,2,0.020127516220752827,878,external naris
488,UBERON:UBERON_0000473,2,0.0020979329839189093,3921,testis
489,UBERON:UBERON_0001323,2,0.024456210891823968,613,tibial nerve
490,UBERON:UBERON_0022268,2,0.032064253717962565,326,planum temporale
491,UBERON:UBERON_0001579,2,0.02127857641575653,798,olfactory nerve
492,UBERON:UBERON_0000006,2,0.020546383182719254,848,islet of Langerhans
493,UBERON:UBERON_0001783,2,0.009450038328363016,2130,optic disc
494,UBERON:UBERON_0001781,2,0.02061763231271983,843,layer of retina
495,UBERON:UBERON_0002633,2,0.028451273651148124,440,motor nucleus of trigeminal nerve
496,UBERON:UBERON_0001780,2,0.018571995919386117,999,spinal nerve
497,UBERON:UBERON_0035775,2,0.05675374483944859,42,submandibular region
498,UBERON:UBERON_2000438,2,0.03631937875184773,229,parhypural
499,UBERON:UBERON_0001792,2,0.019896466526298142,895,ganglionic layer of retina
500,UBERON:UBERON_0002887,2,0.03724872488295889,212,basal amygdaloid nucleus
501,UBERON:UBERON_0013529,2,0.0277079776390356,468,Brodmann area
502,UBERON:UBERON_0001791,2,0.024554886240860656,608,inner nuclear layer of retina
503,UBERON:UBERON_0001647,2,0.009376728246795472,2143,facial nerve
504,UBERON:UBERON_0003822,2,0.019883012373285196,896,forelimb stylopod
505,UBERON:UBERON_0001887,2,0.008683076258821119,2270,internal capsule of telencephalon
506,UBERON:UBERON_0001884,2,0.02489655930784944,591,phrenic nerve
507,UBERON:UBERON_0001642,2,0.01898918480263392,965,superior sagittal sinus
508,UBERON:UBERON_0006098,2,0.05077257753446195,69,basal nuclear complex
509,UBERON:UBERON_0006099,2,0.04361345424885904,125,Brodmann (1909) area 1
510,UBERON:UBERON_0022337,2,0.03521418675693756,251,entorhinal cortex layer 2
511,UBERON:UBERON_0004922,2,0.01718378333596917,1121,postnatal subventricular zone
512,UBERON:UBERON_0001650,2,0.027352847300084342,482,hypoglossal nerve
