,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
84,UBERON:UBERON_0002899,1,-0.0062439861409282855,7284,hippocampal sulcus
85,UBERON:UBERON_0005403,1,-0.000280658637636518,1700,ventral striatum
86,UBERON:UBERON_0000007,1,-0.0069842603738629406,8726,pituitary gland
87,UBERON:UBERON_0016530,1,-0.004993064984387379,5368,parietal cortex
88,UBERON:UBERON_0002542,1,-0.01674154884189557,94357,scale
89,UBERON:UBERON_0000483,1,-0.010236044230909735,19293,epithelium
90,UBERON:UBERON_0002148,1,-0.002475170301162662,2904,locus ceruleus
91,UBERON:UBERON_0002022,1,-0.005543759010984389,6140,insula
92,UBERON:UBERON_0016525,1,-0.008108080883625,11479,frontal lobe
93,UBERON:UBERON_0002476,1,0.004574073815104607,520,lateral globus pallidus
94,UBERON:UBERON_0004537,1,-0.00867253133909689,13174,blood vasculature
95,UBERON:UBERON_0000054,1,0.00198941053450088,977,macula
96,UBERON:UBERON_0000456,1,-0.012097007662046712,30381,secretion of exocrine gland
97,UBERON:UBERON_0035925,1,2.1950033628504984e-05,1579,central sulcus of insula
98,UBERON:UBERON_0008339,1,-0.0045474938597181505,4815,microvascular endothelium
99,UBERON:UBERON_0025595,1,-0.000415820761172541,1757,cholinergic system
100,UBERON:UBERON_0000349,1,-0.0026275432652682123,3014,limbic system
101,UBERON:UBERON_2002210,1,-0.000473724531023596,1782,mossy fiber
102,UBERON:UBERON_0001950,1,-0.008208940486477318,11765,neocortex
103,UBERON:UBERON_0000982,1,-0.010753429033000646,21889,skeletal joint
104,UBERON:UBERON_0004140,1,0.008025642502483431,224,primary heart field
105,UBERON:UBERON_0007378,1,0.007081949801323294,282,egg yolk
