,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_0002542,1,1.4122303078706833,94357,scale
1,UBERON:UBERON_0014899,1,1.6186190700988703,76761,anterolateral ligament of knee
2,UBERON:UBERON_0001359,1,1.8675077542019585,59848,cerebrospinal fluid
3,UBERON:UBERON_0035971,1,2.2941912420127406,39061,postsubiculum
