,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
83,UBERON:UBERON_0016530,2,0.011242516708736822,5368,parietal cortex
84,UBERON:UBERON_0002389,2,-0.002656896459107459,9895,manual digit
85,UBERON:UBERON_0004200,2,-0.007227197038762271,12099,kidney pyramid
86,UBERON:UBERON_0001708,2,0.035136006460676536,1876,jaw skeleton
87,UBERON:UBERON_0002113,2,-0.023324498729599092,24567,kidney
88,UBERON:UBERON_0001027,2,0.035625837333079585,1836,sensory nerve
89,UBERON:UBERON_0000988,2,0.009926532780746842,5688,pons
90,UBERON:UBERON_0035015,2,0.03944503893392668,1552,association cortex
91,UBERON:UBERON_0002129,2,0.028774123819804213,2482,cerebellar cortex
92,UBERON:UBERON_0010750,2,0.00026564030158894103,8701,prefrontal bone
93,UBERON:UBERON_0034754,2,-0.03674046884226377,44332,occipitofrontal fasciculus
94,UBERON:UBERON_0000014,2,-0.032737037610029364,37172,zone of skin
95,UBERON:UBERON_0014895,2,-0.0008007730476756304,9119,somatic muscle
96,UBERON:UBERON_0022272,2,0.021224035131458364,3460,corticobulbar tract
97,UBERON:UBERON_0000914,2,-0.022517517391443486,23710,organismal segment
98,UBERON:UBERON_0001443,2,-0.01692859911958899,18541,chest
99,UBERON:UBERON_0003876,2,0.02527593235974641,2895,hippocampal field
100,UBERON:UBERON_0001456,2,-0.023634143142852414,24904,face
101,UBERON:UBERON_0004167,2,0.024031023348793867,3058,orbitofrontal cortex
102,UBERON:UBERON_0010011,2,0.060043974390977674,627,collection of basal ganglia
103,UBERON:UBERON_0027368,2,-0.035508022479459035,41992,matrix compartment
104,UBERON:UBERON_0003706,1,0.017874981280466183,913,laryngeal vocal fold
105,UBERON:UBERON_0013196,1,0.020764660677071282,708,strand of wool
106,UBERON:UBERON_0003027,1,0.00574042866681441,2656,cingulate cortex
107,UBERON:UBERON_0003026,1,0.0053121951695766535,2758,limitans nucleus
108,UBERON:UBERON_0001088,1,-0.01594686847148576,17909,urine
109,UBERON:UBERON_0001887,1,0.007524990031824366,2270,internal capsule of telencephalon
110,UBERON:UBERON_0001885,1,-0.007836203139338482,8772,dentate gyrus of hippocampal formation
111,UBERON:UBERON_0004473,1,0.02780607793351468,381,musculature of face
112,UBERON:UBERON_0004590,1,0.0129040498502213,1414,sphincter muscle
113,UBERON:UBERON_0010230,1,0.002974308835273268,3388,eyeball of camera-type eye
114,UBERON:UBERON_0014398,1,0.02118982472082421,682,respiratory muscle
115,UBERON:UBERON_0003714,1,-0.0041734426175859315,6355,neural tissue
116,UBERON:UBERON_0004006,1,0.027926011884408884,377,cerebellum intermediate zone
117,UBERON:UBERON_0003038,1,0.014674529485059156,1210,thoracic spinal cord
118,UBERON:UBERON_0002740,1,0.01835807212407248,875,posterior cingulate gyrus
119,UBERON:UBERON_0001771,1,0.0010930081615414457,3998,pupil
120,UBERON:UBERON_0001898,1,-0.011769517253603815,12400,hypothalamus
121,UBERON:UBERON_0002743,1,0.005934609824737088,2611,basal forebrain
122,UBERON:UBERON_0001091,1,0.004038946556096641,3085,calcareous tooth
123,UBERON:UBERON_0015599,1,0.012912089211266648,1413,genu of corpus callosum
124,UBERON:UBERON_0001981,1,2.7522303571306654e-05,4391,blood vessel
125,UBERON:UBERON_2001977,1,-0.005354437459580092,7051,pad
126,UBERON:UBERON_0003129,1,-0.014120460781358696,15250,skull
127,UBERON:UBERON_0000411,1,-0.002675182950515195,5570,visual cortex
128,UBERON:UBERON_0006074,1,0.007410431254751002,2293,lumbar region of vertebral column
129,UBERON:UBERON_0006094,1,0.015788633784099573,1097,superior parietal cortex
130,UBERON:UBERON_0010210,1,0.002761649784916751,3452,blood clot
131,UBERON:UBERON_0014932,1,0.011337530292743198,1623,periventricular white matter
132,UBERON:UBERON_0002606,1,0.0039801626610857215,3101,neuropil
133,UBERON:UBERON_2001840,1,-0.014089121032866737,15208,tip
134,UBERON:UBERON_0002048,1,-0.023737875820051563,35549,lung
135,UBERON:UBERON_0001875,1,0.003139859015140205,3339,globus pallidus
136,UBERON:UBERON_0002722,1,0.0232084661774998,571,trochlear nucleus
137,UBERON:UBERON_0001634,1,0.011506824095932254,1599,mesencephalic artery
138,UBERON:UBERON_0001873,1,0.0003823772983467295,4256,caudate nucleus
139,UBERON:UBERON_0009911,1,0.01004195516770307,1819,lobule
140,UBERON:UBERON_0002720,1,0.05043739221243824,52,mammillary peduncle
141,UBERON:UBERON_0022430,1,0.05560484854328991,33,hippocampus cortex cingulum
142,UBERON:UBERON_0022425,1,0.02982435375558123,319,anterior corona radiata
143,UBERON:UBERON_0034931,1,0.016493747150670826,1031,perforant path
144,UBERON:UBERON_0001847,1,0.030484363278717237,301,lobule of pinna
145,UBERON:UBERON_0002813,1,-0.004356144523207135,6458,right cerebral hemisphere
146,UBERON:UBERON_0001723,1,0.0008400352430960468,4088,tongue
147,UBERON:UBERON_0002812,1,-0.0030385772549745642,5751,left cerebral hemisphere
148,UBERON:UBERON_0016542,1,0.022952650573270058,584,limbic cortex
149,UBERON:UBERON_3011120,1,-0.0017179032358813741,5120,early proximal tubule
150,UBERON:UBERON_3010394,1,0.0027946165511875893,3442,mesonephric late proximal tubule
151,UBERON:UBERON_0005401,1,0.0232084661774998,571,cerebral hemisphere gray matter
152,UBERON:UBERON_0003228,1,0.05493620649757476,35,supinator muscle
153,UBERON:UBERON_0002132,1,0.01636224748040023,1043,dentate nucleus
154,UBERON:UBERON_0008596,1,0.05286437062491618,42,mentalis muscle
155,UBERON:UBERON_0002130,1,0.03022311875343657,308,cerebellar nuclear complex
156,UBERON:UBERON_0000073,1,0.03344314615465548,232,regional part of nervous system
157,UBERON:UBERON_0012176,1,0.015017752646453988,1174,comb
158,UBERON:UBERON_0002702,1,0.008420391412724434,2098,middle frontal gyrus
159,UBERON:UBERON_0002707,1,0.004840071364142519,2875,corticospinal tract
160,UBERON:UBERON_0002387,1,-0.014658204903516228,15989,pes
161,UBERON:UBERON_0002943,1,0.01994432812970803,761,lingual gyrus
162,UBERON:UBERON_0001733,1,0.025990632257527544,447,soft palate
163,UBERON:UBERON_0002148,1,0.004726021106037567,2904,locus ceruleus
164,UBERON:UBERON_0002260,1,0.02455935488278193,507,ventral root of spinal cord
165,UBERON:UBERON_0002021,1,0.00369429269888375,3180,occipital lobe
166,UBERON:UBERON_0002261,1,0.0025206235263429203,3526,dorsal root of spinal cord
167,UBERON:UBERON_0016528,1,0.03334560361270785,234,white matter of frontal lobe
168,UBERON:UBERON_0016526,1,0.023129138550893658,575,lobe of cerebral hemisphere
169,UBERON:UBERON_0001946,1,0.022309611088844338,618,inferior colliculus
170,UBERON:UBERON_0004537,1,-0.012457570862780066,13174,blood vasculature
171,UBERON:UBERON_0035927,1,0.021876658290750358,642,sulcus of parietal lobe
172,UBERON:UBERON_0035803,1,0.01600827832448026,1076,extrapyramidal tract system
173,UBERON:UBERON_0008338,1,-0.008578336310622828,9364,plantar part of pes
174,UBERON:UBERON_0035925,1,0.011649854761594894,1579,central sulcus of insula
175,UBERON:UBERON_2002107,1,0.025689591172902808,459,medullary command nucleus
176,UBERON:UBERON_0003689,1,0.015603688061156515,1115,sella turcica
177,UBERON:UBERON_0011639,1,0.007535006459413067,2268,frontoparietal bone
178,UBERON:UBERON_0002809,1,0.015144286949751147,1161,right temporal lobe
179,UBERON:UBERON_0001836,1,-0.0018261396809096226,5169,saliva
180,UBERON:UBERON_0001833,1,0.004636374393001214,2927,lip
181,UBERON:UBERON_0002488,1,-0.003140864442211543,5803,helix of outer ear
182,UBERON:UBERON_0002367,1,-0.007467563517581298,8492,prostate gland
183,UBERON:UBERON_0002245,1,0.014892611803026416,1187,cerebellar hemisphere
